postal,nm,vap
zz,CIRO GOMES,13341
zz,LULA,138933
zz,PADRE KELMON,344
zz,SIMONE TEBET,13167
zz,VERA,464
zz,LÉO PÉRICLES,319
zz,JAIR BOLSONARO,122548
zz,CONSTITUINTE EYMAEL,258
zz,FELIPE D&apos;AVILA,3780
zz,SORAYA THRONICKE,753
zz,SOFIA MANZANO,618
to,CIRO GOMES,18141
to,LULA,434303
to,PADRE KELMON,418
to,SIMONE TEBET,25209
to,VERA,90
to,LÉO PÉRICLES,129
to,JAIR BOLSONARO,379194
to,CONSTITUINTE EYMAEL,105
to,FELIPE D&apos;AVILA,1266
to,SORAYA THRONICKE,2788
to,SOFIA MANZANO,149
se,CIRO GOMES,40247
se,LULA,828716
se,PADRE KELMON,631
se,SIMONE TEBET,42073
se,VERA,589
se,LÉO PÉRICLES,396
se,JAIR BOLSONARO,378610
se,CONSTITUINTE EYMAEL,196
se,FELIPE D&apos;AVILA,2194
se,SORAYA THRONICKE,4416
se,SOFIA MANZANO,364
sp,CIRO GOMES,898540
sp,LULA,10490032
sp,PADRE KELMON,15784
sp,SIMONE TEBET,1625596
sp,VERA,7450
sp,LÉO PÉRICLES,21665
sp,JAIR BOLSONARO,12239989
sp,CONSTITUINTE EYMAEL,5015
sp,FELIPE D&apos;AVILA,183719
sp,SORAYA THRONICKE,153601
sp,SOFIA MANZANO,14943
sc,CIRO GOMES,88672
sc,LULA,1279216
sc,PADRE KELMON,3369
sc,SIMONE TEBET,191310
sc,VERA,838
sc,LÉO PÉRICLES,1682
sc,JAIR BOLSONARO,2694406
sc,CONSTITUINTE EYMAEL,567
sc,FELIPE D&apos;AVILA,48980
sc,SORAYA THRONICKE,20132
sc,SOFIA MANZANO,1812
rr,CIRO GOMES,6709
rr,LULA,68760
rr,PADRE KELMON,190
rr,SIMONE TEBET,12956
rr,VERA,75
rr,LÉO PÉRICLES,59
rr,JAIR BOLSONARO,207587
rr,CONSTITUINTE EYMAEL,37
rr,FELIPE D&apos;AVILA,794
rr,SORAYA THRONICKE,1138
rr,SOFIA MANZANO,64
ro,CIRO GOMES,19353
ro,LULA,261749
ro,PADRE KELMON,749
ro,SIMONE TEBET,31217
ro,VERA,139
ro,LÉO PÉRICLES,204
ro,JAIR BOLSONARO,581306
ro,CONSTITUINTE EYMAEL,111
ro,FELIPE D&apos;AVILA,2398
ro,SORAYA THRONICKE,5777
ro,SOFIA MANZANO,232
rs,CIRO GOMES,190945
rs,LULA,2806672
rs,PADRE KELMON,4394
rs,SIMONE TEBET,317957
rs,VERA,1337
rs,LÉO PÉRICLES,2332
rs,JAIR BOLSONARO,3245023
rs,CONSTITUINTE EYMAEL,885
rs,FELIPE D&apos;AVILA,40601
rs,SORAYA THRONICKE,25207
rs,SOFIA MANZANO,2399
rn,CIRO GOMES,71740
rn,LULA,1264179
rn,PADRE KELMON,860
