postal,nm,vap
zz,LULA,152905
zz,JAIR BOLSONARO,145264
to,LULA,434593
to,JAIR BOLSONARO,411654
se,LULA,862951
se,JAIR BOLSONARO,421086
sp,LULA,11519882
sp,JAIR BOLSONARO,14216587
sc,LULA,1351918
sc,JAIR BOLSONARO,3047630
rr,LULA,67128
rr,JAIR BOLSONARO,213518
ro,LULA,262904
ro,JAIR BOLSONARO,633236
rs,LULA,2891851
rs,JAIR BOLSONARO,3733185
rn,LULA,1326785
rn,JAIR BOLSONARO,711381
rj,LULA,4156217
rj,JAIR BOLSONARO,5403894
pi,LULA,1551383
pi,JAIR BOLSONARO,467065
pe,LULA,3640933
pe,JAIR BOLSONARO,1798832
pr,LULA,2506605
pr,JAIR BOLSONARO,4159343
pb,LULA,1601953
pb,JAIR BOLSONARO,802502
pa,LULA,2509084
pa,JAIR BOLSONARO,2073895
mg,LULA,6190960
mg,JAIR BOLSONARO,6141310
ms,LULA,599547
ms,JAIR BOLSONARO,880606
mt,LULA,652786
mt,JAIR BOLSONARO,1216730
ma,LULA,2668425
ma,JAIR BOLSONARO,1082749
go,LULA,1542115
go,JAIR BOLSONARO,2193041
es,LULA,926767
es,JAIR BOLSONARO,1282145
df,LULA,729295
df,JAIR BOLSONARO,1041331
ce,LULA,3807891
ce,JAIR BOLSONARO,1634477
ba,LULA,6097815
ba,JAIR BOLSONARO,2357028
am,LULA,1004991
am,JAIR BOLSONARO,961741
ap,LULA,189918
ap,JAIR BOLSONARO,200547
al,LULA,976831
al,JAIR BOLSONARO,687827
ac,LULA,121566
ac,JAIR BOLSONARO,287750
